Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Grand Princess,US,2022-05-14 04:31:33,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2022-05-14 04:31:33,13.4443,144.7937,48496,361,,,66.0,29529.49844424553,393575.0,,0.7443912900032993,316.0,GUM,239650.1226945302,
Hawaii,US,2022-05-14 04:31:33,21.0943,-157.4983,258422,1434,,,15.0,18251.791122361345,3874692.0,,0.5549063160257254,84000015.0,USA,273661.1784116078,
Idaho,US,2022-05-14 04:31:33,44.2405,-114.4788,447913,4933,,,16.0,25064.16946221878,1224782.0,,1.1013299457707189,84000016.0,USA,68535.95140635624,
Illinois,US,2022-05-14 04:31:33,40.3495,-88.9861,3209355,38004,,,17.0,25326.59670618769,,,1.126025561010812,84000017.0,USA,,
Indiana,US,2022-05-14 04:31:33,39.8494,-86.2583,1713834,23636,,,18.0,25457.19323747489,19769370.0,,1.379130067439437,84000018.0,USA,293653.1030853274,
Iowa,US,2022-05-14 04:31:33,42.0115,-93.2105,768869,9555,,,19.0,24369.31668710996,,,1.2427344580156048,84000019.0,USA,,
Kansas,US,2022-05-14 04:31:33,38.5266,-96.7265,781592,8720,,,20.0,26828.27872313112,,,1.1156716035988086,84000020.0,USA,,
Kentucky,US,2022-05-14 04:31:33,37.6681,-84.6701,1336858,15797,,,21.0,29922.91512830057,,,1.181651304775825,84000021.0,USA,,
Louisiana,US,2022-05-14 04:31:33,31.1695,-91.8678,1178806,17295,,,22.0,25357.24319038443,13580215.0,,1.4671625356504805,84000022.0,USA,292123.39802538033,
